donor_code,1012,913,914,953,921,916,915,801,1,2,1601,301,1011,1013,68,3,82,918,990,18,4,5,1311,811,1312,1313,40,75,20,912,988,958,909,901,905,903,21,976,6,701,613,742,552,84,22,7,820,104,8,951,978,76,9,77,69,61,50,10,11,971,959,948,974,967,963,576,12,302,923,964,966,928
Cook Islands,,,,,,0.447305,0.0266341,2.736523311,,,,,,,,,,1.32988805,,,0.03933378,0.0118082,,1.104161,,,,,,,,,,,,,,,,0.30049132,,0.020616,,,,,23.11591406,,,,,,,,,,,,,,,,,,,,,,,,,0.131554
Costa Rica,1.62156,,,,,,,0.3573393056,0.12175559,0.31086548,0.1277461,19.90023244,,,0.01926941,,,8.29600362,,,5.756444344,9.07848787,,4.68974013,,,,,,3.709097,,,440.75627,13.4500308,,,,,0.00530715,27.02822626,,1.596846,,,0.0199018,0.05204035,,,3.1974984,,,0.00285325,0.005473,,0,,2.242982586,0.0723771,0.1959374,,0.49102982,,0.57557556,,0.828712,,6.0699706,9.71206,,,,
Côte d''Ivoire,,90.00536521,57.55474,7.385832,,,,0.1217429706,0.05631982,13.50222114,2.5287659,5.70938305,,,0.0301464,0.747504,,134.3542852,,0.4936744,334.857047,18.7323372,37.676609,0.7431127,53.22869,,0.00757596,,,,,172.977,,,194.6843655,,,26.8891,0.53631454,26.59314167,,2.555069,3.867842,,0.15553127,,,,1.0919027,20.139412,,,0.09013409,0.00682382,,,0.48889505,1.804447427,2.5629796,0.6829492,3.07916551,,4.754912928,,8.564743,0.69548,6.48207105,112.90455,3.470698,,1.5018,1.45996316
Cuba,0.910168,,,,,,,0.0151403523,0.13697818,3.480102518,,4.56904023,,,0.56270866,,0.0106143,9.75901468,,0.0129362,2.92529242,2.07283022,1.3365,3.23284693,1.98782,,0.0151519,,,,,,,,,,,,3.610831134,5.308657433,,1.070519,6.41835,,0.3247428,0.2857358,,,3.3310428,12.06803,,0.01050404,0.0417421,0.00691647,,,5.431201923,,11.34464647,,0.4579949,,0.88347051,,0.895021,0.02142,6.518989255,15.27643,,,0.00159,
Democratic People''s Republic of Korea,,,,,,,,2.7566904,,,0.00856108,3.6402439,,,0.02931774,,,7.3277211,,0.8243968,14.8689443,2.28252265,3.48538016,,18.5964,,0.00721242,,,,,,,,,,0.862411,,1.018829554,,,,1.56403,,0.112777,0.030268,,,1.904188,,,0.03648629,,0.0382844,,,0.1127757,5.6892863,8.18567975,,1.50486775,,1.462615408,,3.181631,,0.8262915,2.06347,,,3.88859,1.84856032
Democratic Republic of the Congo,,124.2766,102.4509163,3.6543271,,,,4.617773645,0.417844426,169.1530681,5.67795874,39.95264974,0.563682,,0.0703415,0,,237.4833211,,3.84056409,39.98284189,92.5150121,97.9036628,2.88078834,100.00363,,0.834835,0.0322415,,,,,,,496.6985313,,9.81590178,,8.44878233,53.79525346,,11.517656,,,3.58224582,9.9423815,,,36.444629,4.87324,,0.0057065,0.0280125,,,,5.308381851,61.94253937,19.44306794,1.882904,17.18947217,,7.60301096,,62.201116,0.0272,275.2399992,385.39557,0.85149868,,10.30684,1.90014104
Djibouti,,0.0623982,1.3310648,,17.477195,,,0.0627935981,,,0.00898914,1.5608761,,,0.0322867,,,31.68733415,,0.00939366,41.43219209,1.1006616,0.24935199,1.6813678,1.448811,,0.00721242,,,,,,,,13.07181254,,0.1837174,2.81635,0.21193025,26.46193473,,,14.7722085,,,1.32679,,,0.476047,2.84254,,,,,,,0,2.20482,0.00648962,0.4182465,1.07526524,,0.80804959,,1.054374,0.65758,,8.15246,,,3.07945,0.42727068
Dominica,,,,,,,,0.316583071,,,,0.0901149,,,,,,4.883656813,,,11.1942637,0.0168385,,4.00E-05,,,,,,,,,,0,0.712712,,,,,1.07782218,,0.15316,,,,,0.0277884,,,,,,,,,,0.117656,,,,0.05382704,,,,,,0.000451778,,,,,
Dominican Republic,,,,,,,,0.373885,0.032359,0.52125688,,0.71682881,,,0.0100488,,,60.59871983,,0.2504547,43.51606827,3.16269996,,2.0084308,14.478571,,,,,4.228698,,,196.9087,37.51877691,,,0.34503244,,0.433744655,16.50648491,,12.536729,,,0.00186893,0.0278625,,,0.2540405,29.907,,0.00285325,,0.00287029,,,8.082388252,0.01574369,0.0287071,0.3931571,0.36027818,,0.90854649,,1.115474,,0.67272819,41.52002,,,,
Ecuador,,,,,,,,0.1980349468,3.92103958,21.26720657,0.3814211,2.314239063,,,0.0134798,,,22.7851975,,0.53985264,46.82890658,37.95158863,,5.21240284,6.759654,,,,,6.556856,,,511.95454,7.364653,,,0.0265358,,2.564429963,8.554584761,,10.963713,,,0.1941402,,0.000414662,,2.26150512,,,,,0.0106624,0.01725,,10.71962615,0.217052289,2.8990217,,0.59839247,,1.03959647,,1.086312,0.05256,0.4016807,35.5684,,,0.40571,
