,donor_code,1,2,3,4,5,6,7,8,9,10,11,12,18,20,21,22,40,45,50,55,61,62,68,69,70,72,75,76,77,82,83,84,87,104,301,302,546,552,576,611,613,701,732,742,764,801,807,811,820,901,905,906,909,912,913,914,915,916,918,921,923,928,940,944,948,951,958,959,963,964,966,967,971,974,976,978,988,990,1011,1012,1013,1016,1019,1020,1021,1022,1023,1311,1312,1313,1601
donor_name,RecipientCode,Austria,Belgium,Denmark,France,Germany,Italy,Netherlands,Norway,Portugal,Sweden,Switzerland,United Kingdom,Finland,Iceland,Ireland,Luxembourg,Greece,Malta,Spain,Turkey,Slovenia,Croatia,Czech Republic,Slovak Republic,Liechtenstein,Bulgaria,Hungary,Poland,Romania,Estonia,Latvia,Lithuania,Russia,Nordic Development Fund,Canada,United States,Israel,Kuwait,United Arab Emirates,Azerbaijan,Kazakhstan,Japan,Chinese Taipei,Korea,Thailand,Australia,UNEP,Global Environment Facility,New Zealand,International Bank for Reconstruction and Development,International Development Association,Caribbean Development Bank,Inter-American Development Bank,IDB Special Fund,African Development Bank,African Development Fund,Asian Development Bank,AsDB Special Funds,EU Institutions,Arab Fund (AFESD),UN Peacebuilding Fund,World Health Organisation,International Labour Organisation,International Atomic Energy Agency,UNECE,OPEC Fund for International Development,IMF (Concessional Trust Funds),UNDP,UNICEF,UNRWA,WFP,UNHCR,UNAIDS,UNFPA,Islamic Development Bank,OSCE,IFAD,European Bank for Reconstruction and Development,Climate Investment Funds,Adaptation Fund,Council of Europe Development Bank,Green Climate Fund,IDB Invest,Dutch Postcode Lottery,Swedish Postcode Lottery,People's Postcode Lottery,World Tourism Organisation,Global Alliance for Vaccines and Immunization,Global Fund,Global Green Growth Institute,Bill & Melinda Gates Foundation
Serbia,63,11.72784844,0.11024226,0.81046894,4.579380946,134.4208412,1.965371426,0.111268,2.35302292,0.06555014,12.25884377,24.08464229,2.8081072,0.20132604,,0.0583878,0.2304872,0.125644172,,0.54680011,3.9,2.211132045,,2.22089938,1.07426,,0.19,2.073049,0.05877261,1.423858905,0.038704,,0.00268129,11.7035,,0.0343368,16.564922,0.021734,3.41345,200.39238,,,8.367557851,,0.651179,,0.035047959,,2.078881,,83.2821328,0,,,,,,,,516.7518787,,,1.38514806,0.10772,0.609941,,,,0.61565984,0.70676045,,,5.75372,,0.3609969,,6.395059,,542.676841,,,24.738205,0,,,,,,,,,0.013267
Seychelles,270,,0.16145127,,2.84919619,0.02173197,,,,,,,0.165225941,,,,,,,0,0.1,,,,,,,0.0025362,,,,,,,,,0,,,5.53228,,,0.978250673,,0.006806,0.04795,0.27037099,,1.1745087,0.1101603,10,,,,,11.63253,,,,7.46606419,,,0.67139351,0.12179,0.192235,,,,0.0853305,,,,,,,,,0.713361,,,1.13718,,,,,,,,,,,
Sierra Leone,272,0.1286585,1.44364768,0.0732305,0.43362574,18.03548073,1.45529342,0.10919181,5.1781498,0.0464735,0.1646,0.0639529,227.1645196,0.360278797,,11.90944753,,0.00488776,,0.53418708,0.2,,,0.00613733,,,,0.000422701,,,,,,,,1.65238191,128.599596,0.092392,15.0418855,0.90233,,,13.39450829,,10.513381,0.00006,0.169597807,,2.797136,0.0917271,,27.13422158,,,,,18.39281,,,87.32511979,,0.49838,1.5041522,0.31865,0.336319,,5.73511,67.9415,5.22986088,9.879309,,0.049978,,0.6441448,1.8296835,23.35616,,10.756075,,,,,,,,,,,2.81954,27.51285,,2.240465
Solomon Islands,866,,,,0.00974569,0.3648309,0.2799957,,,,,,0.15117938,,,,,,,0,,,,,,,,,,,,,,,,0.162064135,0.884219,0.056183,,0.38,,,19.12677352,,2.438695,0.03637,109.3094767,,3.96647,14.26091266,,6.846586,,,,,,,17.44446,1.24569294,,,0.9905017,0.15889,,,,0.41302,0.80608908,0.52175515,,,,,,,,0.545995,,,0.420817,,,,,,,,0.26766,3.28829,,0.1169885
Somalia,273,0.1640152,0.12400754,34.31622391,0.44976666,82.77345318,13.68382421,8.003237,40.521904,0.136152,66.46415231,22.58629189,205.2471578,14.03208917,,7.1709523,1.824614,,0.589385,1.161265445,59.63,0.0331748,,,,,,0.00725429,,0.03898933,,,,1,,23.76491609,214.552516,,6.5039815,96.23633,,,21.55153632,,0.5,,5.2326081,,1.6666667,,,,,,,0.03452,2.26971,,,158.6288331,0.999437,2.586664,0.5096996,0.10884,,,0.31,,8.47833374,18.41992063,,18.005221,,0.3042219,4.3573861,3.29611,,,,,,,,,,,,,1.46296,24.07585,,1.67741502
"South & Central Asia, regional",689,0.663497,,0.0145188,,,,,1.63700849,,,4.018505324,,1.9859022,,,,,,,74.06,,,,,,,,,0.0517305,,,,,,0.936181763,5.730416,,,,,,,,0.276583,,4.72265551,,0.7,,,,,,,,,,,8.5985115,,,,5.33019,,,,,,,,,,,0.0006496,,,,,,,,,,,,,,,,,27.3854639
South Africa,218,0.3709294,19.1980532,1.18978024,117.3598389,398.0095109,1.290983385,2.926059107,7.793718482,1.24332253,5.041945321,9.09418694,16.59779363,1.54440193,,6.044862992,0.195219263,0.0342807,,0.03749283,0.5,,,0.0257768,,,,0.0101448,,,,,0.000318478,,,6.29617077,492.329006,0.448244,,0.44178,,,11.04587593,,0.070009,0.00006,1.135136465,,10.745368,0.0597281,323.89465,,,,,301.17117,,,,111.5039912,,,1.63805797,1.15823,0.444176,,,,0.7937234,1.41290794,,0.35694,12.218,1.7385421,1.3657638,0.00732,,,,6.92917,,,0,,0.552914,,0.607287,,,68.15223,,17.82592184
"South America, regional",489,0.11055787,0.219582,,113.1803683,88.28218714,0.94216448,0.285168,0.5732263,0.01232888,4.2640694,15.4777688,,3.79119491,,0.1608154,0.0496611,,,5.356343683,0.16,,,,,,,,,,,,,,,17.55274599,15.075777,,,,,,,,,,0.3311009,0.094032,,0.3020789,,,,,9.49538,,,,,70.3917697,,,,3.05912,7.13801,,15.23875,,,,,,,3.2804067,,,,,,,,,,,16.3939,,,,,2.4857,,8.1889242
"South Asia, regional",679,0.4719194,0.265399,,0.08972692,14.06562687,,1.8366802,2.4026762,,2.96600876,1.72492075,78.49814297,0.945951,,0.0429537,0.0188577,,,0.06182707,,,,,,,,,,,,,,,8.253894,2.624678541,81.571417,,,,,,0.87872799,,,,,,,0.223503,,,,,,,,,,14.88813872,,,22.67765906,0.00071,,,0.28254,,,2.61091639,,,,,,,,,,,,,,,,,,,,4.79211,,
"South of Sahara, regional",289,9.00850793,7.3977974,13.10241965,206.890587,360.2522861,28.42088953,195.1504213,125.9014334,0.3359936,84.354248,89.40185524,208.2193242,22.03501065,1.515428,0.61230787,2.1685884,,,8.952144429,1.24,,,0.409155,,,,,,,,,,,11.16886,199.4780117,656.293912,,1.0097,,0.166,,10.34542575,,4.188447,,3.043902677,73.397509,,2.3380594,,3.355267,,,,14.12933,,,,399.8867263,,,,6.35385,,,2.91399,,2.61941,12.80110639,,,1.31136,3.0613003,8.4029294,,,,,,,,,,5.031519,0.818092,2.024289,0.025825799,,,,278.9465097
South Sudan,279,0.852582404,10.6858757,19.8184469,0.2368539,123.8650067,11.04228966,48.67633562,68.72625707,,33.18271482,25.12139252,224.1074361,13.3084467,,10.22194845,4.540755,,,0.64116403,0.4,0.0331748,,0.4047496,0.25763,,,,,,,,,,,67.46086661,547.863511,,,0.13194,,,55.14520336,,3.333309,0.05796,10.78967023,,0.3733337,,,14.1076596,,,,,9.97252,,,224.0212979,,0.1147,1.57127985,0.01598,,,,,1.884555,10.70207233,,16.59517,26.8549,0.8770902,3.8730052,,,0.979824,,,,,,,,,,,0.50556,8.80675,,5.91962152
Sri Lanka,640,2.19063393,7.8431702,0,14.16189229,23.6393956,2.32607348,0.1179765,8.2223188,0.0105618,2.819825262,12.92641069,7.425270669,0.74119099,,0.018077,0.1260127,0.000928895,0.0276457,0.20665681,0.15,,,0.17791608,,,,2.0632353,,0.00689691,,,0.01235973,,,8.03805838,33.636712,0.07111,8.6152866,0.86924,,,199.0287027,,38.060127,0.20058,11.08595506,,3.852585,1.5416656,113.252,235.5926004,,,,,,283.78667,147.28021,36.5827652,,1.982074,2.8771942,0.88881,0.45501,,32.32207,,0.69414679,1.28047595,,0.278923,2.83913,0.0473454,0.8377382,2.27589,,22.781,,,,,,,,,,,-0.01854,4.69841,,0.51445152
States Ex-Yugoslavia,88,4.0362934,,,,,0.2296256,,,0.116918,,,,0.4213676,,0.0218009,,,0.00143567,,,0.60096688,,0.2520757,,,,,0.0059035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.387117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013267
Sudan,278,0.2390225,0.78283371,7.844943,3.78438963,31.99834235,9.29817779,10.80305575,14.23926473,,23.93755623,10.11388741,92.05601306,0.61890826,,6.05117054,0.56095635,0.00488776,0.0291972,0.242376171,9.42,,,0.0796149,,,,0.04351549,0.00456378,0.0287223,,,,0.012,,13.77684633,229.32534,,13.35138,2.54067,,,36.81746111,,7.095778,0.04596,4.262563356,,6.255924,,,,,,,0.07592,6.20047,,,94.75171849,44.7794726,,1.9367271,0.28678,0.269805,,0.10471,,2.94400687,14.41515716,,,,0.4197934,3.3178497,17.87046,,14.42487,,,,,,,,,,,34.24335,82.25101,,0.12121752
Suriname,457,0.1669795,1.65376913,,1.52792242,0.0697324,,3.904420632,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0.46241824,0.006946,,,,,,0.27221385,,0.083689,,0.07966261,,1.073001,,,,50.31759,83.08552,2.7244,,,,,5.59274269,,,,0.09138,,,0.5943,,0.17229897,,,,,,,1.00089,,,,,,,,,,,,,,0.20555,,
Swaziland,280,0.03219958,0.00185337,,0.12220523,0.21143,0.05859215,,0.7918968,0.1073317,0.8761196,0.543387763,0.00591829,0.2304426,,0.0431867,0.221166,,,0.00582672,0.1,,,,,,,0.000552765,,,,,,,,0.5551829,56.420463,,8.526233,5.92159,,,1.182500443,,0.229272,0.02043,0.491243823,,1.078,0.0791828,7.483733,,,,,5.6183,,,,31.68943235,,,0.94636782,0.46829,0.015544,,14.71318,,0.76314732,1.40819348,,0.328611,,0.9710553,0.7313448,,,0.413769,,,,,,,,,,,,32.07606,,1.046363
Syrian Arab Republic,573,10.51606728,15.40046671,40.96698639,15.42138626,824.1798133,17.63660615,23.6981274,121.6823386,7.82170753,46.80275409,31.55518189,474.7584013,11.36654328,4.635745,10.5285691,6.8700969,0.047694314,0.440721,41.29647246,5851.23,0.0995245,,1.7246343,0.34878,,0.33,0.260379,9.43403814,0.7482172,0.8349,,0.0552914,4,,52.32492243,637.705675,52.8623,63.525,40.114,,,43.52370973,,12.4113,,3.649678333,,,1.74034,,,,,,,,,,325.6766286,,,0.28181615,0.20469,0.174225,,0.374,,0.45166967,2.59477916,36.50835,11.297865,16.1938,,1.0001883,0.53523,,,,,,,,,,,,,,1.72708,,3.5737475
Tajikistan,615,0.47261695,0,0,0.1530997,23.79078876,,0.0998274,0.714269,,0.128690292,20.57750802,5.928421408,1.770813997,,,0.18948814,,,0,1.58,,,0.06260742,0.00775,,,0.00801595,0.0623701,0.000785811,0.05307975,0.00552914,0.00434661,13.6594,,1.08586459,40.80098,0.056183,5.991798,10.29163,,,31.04457522,,0.30759,0.05439,0.11138786,,2.013043,,,34.73509,,,,,,,118.66847,24.55573756,,0.860479,1.06688057,0.07325,0.279764,0.0644,5.15409,,2.92832205,2.62501022,,0.370518,1.74338,0.057005,0.7472253,18.79707,7.121616,4.29337,27.698906,,,,0,,,,,,2.4891,10.19404,,0.01445152
Tanzania,282,1.653421205,14.4628308,54.36845878,41.24522953,51.68561395,6.009606096,0.6018815,46.8684996,0.01420989,94.29054899,32.60100288,251.9794838,23.27965599,,28.07555183,0.16525,,0.00125953,0.831406774,1.09,,,,,,,0.02875242,22.90097126,,,,,1.36783,,50.41705763,501.006691,0.056183,0.347533,3.32529,,,192.651059,,64.282785,0.11436,2.146511042,,5.748875,0.4342756,,429.7207881,,,,20.42536,119.48108,,,101.012526,,,1.5977482,0.82482,0.4897,,5.44472,,7.25840423,19.59086037,,2.163849,4.02674,1.1573049,4.1271668,,,15.3502,,0.15177,,,0,,1.99049,,,,34.17783,224.84334,,62.4799327
Thailand,764,0.82170112,0.03572263,0.5328469,10.63983988,15.94295617,0.50805561,0.0386367,0.65589545,0.049179558,3.163027486,1.1118603,9.073224366,0.166006867,,0.39078485,0.3791868,,0.00030621,0.0773927,0.94,,,0.01595706,0.00318,,,0.005016908,,0.0222173,,,0.0021724,,,0.34871818,53.662689,0.057263,,0.02744,,,414.05102,,114.910984,,5.755645938,,6.7378137,0.262589,0,,,,,,,37.19321,0.52337,17.42032534,,,3.10575391,0.13731,0.446887,,,,0.8176644,1.07866175,,0.493907,11.67605,0.7181206,0.9889477,0.1342,,,,,,,,,,,,,,12.34676,0.4348192,1.0742031
Timor-Leste,765,,,,0.3075221,7.62830827,0.0379852,,1.52778615,14.57700661,0.2355729,,0.024816,0.102438,,0.060572,,,,,,,,,,,,,,,,,,,,0.32615702,20.010735,,,,,,36.70928997,,12.060861,0.05524,61.05452281,,3.727683,10.7746954,0.00176184,14.404141,,,,,,15.2629,12.59937,20.2810536,,,1.427992811,0.56465,,,,,1.14486858,1.17934857,,0.038012,,,1.4824851,,,,,,,,,,,,,,0.0879,5.65713,,0.01445152
Togo,283,0.09040523,0.70254164,,25.36565862,19.70901112,1.59223658,,0.14205027,,1.477668122,2.13668794,,0.2930432,,0.0129006,0.9543135,,,0.63356498,0.38,,,,,,,0.000422701,,0.0139773,,,,,,1.38091531,4.975305,0.073775,1.67573,0.5493,,,3.344678703,,0.191002,0.12492,0.158321565,,4.892735,,,22.9412578,,,,0.04465,10.32673,,,40.3471413,,,0.90840331,0.3169,0.110642,,3.30486,,4.69642922,4.58030909,,,,0.4389563,1.401402,12.92884,,0.587149,,,,,,,,,,,3.83646,21.30227,,0.57643752
Tokelau,868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00207715,,,,0.54818224,,,13.65107004,,,,,,,,,,,,,0.067034,,,,,,0.0724109,,,,,,,,,,,,,,,,,,,,,,,
Tonga,870,,,,0.03557449,0.110583,0.4856836,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,1.354314,,,,,,12.91072072,,0.145637,0.09706,19.67557798,,1.154618,16.98558694,,13.21409745,,,,,,,14.29866,3.2662172,,,0.6911535,,,,,,,,,,,,,,,0.940446,,,,,,,,,,,,,,
Tunisia,139,1.27182943,1.0576489,1.6390799,176.3373504,150.5760246,25.99409121,0.838214671,1.9127547,0.17399753,1.719026502,19.91038336,13.27683757,0.97839677,,0.00044786,0.442331,0.215636,,4.271066674,12.31,,,0.0582538,,,,0.950366,0.14209839,0.0270048,0.0132699,,,,,1.50935174,30.951543,0.069199,10.800219,2.18077,,,59.80385276,,5.698337,0.00341,0.083587353,,4.065179,0.010442,131.201124,,,,,574.97079,,,,422.06618,102.5152056,,0.58945595,0.5062,0.219417,,7.65369,,0.45984915,0.89258389,,,1.89691,0.0555194,0.3875852,34.68827,,1.233372,13.11161,,,,0,,,,,,,0.77273,,0.3675
Turkey,55,37.62828486,67.54255587,16.0052484,413.6111754,379.5258234,71.68291461,106.6611714,9.08889202,0.081383372,15.07781485,1.52795493,128.925805,9.06233306,,6.049981,4.85286704,8.22673783,0.359904,50.31966089,,1.661611,,0.42739914,3.33883,,1.93,11.80810709,18.12542257,4.3321443,3.058988,1.1343837,1.679951965,,,0.51332957,48.734445,0.091053,,0.09286,,,118.2894813,,97.604443,,0.130171653,,7.73641,0.00841211,537.7944691,,,,,,,,,3768.642995,,,1.03013764,0.88535,0,,33.63337,,0.44647262,0.86915386,,1.48269,8.20848,,0.7202956,416.5235,,9.8423102,1863.294253,,,280.3277,,,,,,,,,,2.41596
Turkmenistan,616,0.0871798,,,0.176548332,1.26085876,0.00254783,,,,,0.0203025,0.11316525,,,,,,,,4.87,,,0.0192497,,,,0.0012681,0.0557922,0.229791,,,,0.044641,,,4.406135,,,8.33198,,,0.501973322,,3.583334,,,,1.3684,,0,,,,,,,21.3135,0.01614,8.05832913,,,0.8070427,0.00567,,,,,0.51876873,1.09230291,,,0.134172,,0.4634941,87.145,1.594991,,5.6387475,,0.667385,,,,,,,,,1.27856,,
Tuvalu,872,,,,,0.0071979,0.285192,,,,,,,,,,,,,0.00738377,,,,,,,,,,,,,,0.005578,,,,,,0.45,,,1.854493212,,0.243913,,5.531603416,,1.6659023,4.97732988,,7.9780088,,,,,,,0.92094,0.75311242,,,0.06141951,0.10496,,,,,,0.00902597,,,,,,,,,,,,,,,,,,,,,,
Uganda,285,11.8128867,24.45861037,41.89043706,24.35710689,47.13794425,4.05209935,17.2346303,45.32788573,,44.39593731,2.0259128,149.9679112,3.06691258,4.923501,26.39023053,0.0781968,0.00488776,0.0259182,0.21790038,1.14,0.0342807,,0.0818311,0.01112,,,0.7169098,0.04633699,0.00236408,0.04423308,,,,0.350592,5.971502546,540.527199,0.056183,5.87497,1.64566,,,66.84254158,,27.977268,0.09175,1.396714122,,4.9517737,0.05305433,,179.1662309,,,,1.42678,128.60181,,,74.89078848,,0.020247,1.72643548,0.36335,0.442121,,7.11217,,7.15603901,21.81705909,,6.673326,,0.7546974,4.1921643,29.8135,,12.841044,,0.27915,1.5,,,,,,,,51.95286,195.56741,0.44287,46.4701267
Ukraine,85,9.929695358,4.98820523,15.70077244,18.16290244,176.5677346,9.5203335,8.138472114,13.88969746,0.00490767,33.96319664,31.62461333,42.66499518,5.61340393,0.003837,0.566528,0.9451175,0.154672155,,15.4104925,4.72,0.204273997,,2.74691107,1.62241,,0.04,1.930971415,24.09529676,0.778170086,2.55446425,0.47156916,3.176051848,5.623,,51.00511956,175.445647,9.87581,,0.00199,,,350.7968452,,0.530452,,0.28398884,,8.2410777,,178.0573013,,,,,,,,,492.4307235,,,1.422918551,0.25326,0.294829,,,,0.58800595,1.26315072,,8.731507,,0.9959903,0.5237957,,3.496903,,932.693627,,,,,,,,,,,58.08209,,
Uruguay,460,0.0273296,0.00110583,,2.05859854,3.53947054,0.71042209,,,0.0870276,0.0236406,0.09471834,0.936589927,,,0.0022898,,0.0128276,,0.87703972,0.01,,,,,,,0.000845402,,,,,,,,0.192271787,0.486124,0.626586,,,,,2.291222393,,0.105526,,0.073084052,,1.916275,0.61654983,53.4038768,,,163.85498,2.89933,,,,,1.99334255,,,,0.64637,0.222793,,,,0.18572524,0.92460352,,,,0.0013855,0.5992866,,,,,,2.81175,,,,,,,,,,,
Uzbekistan,617,0.359284283,0.0096207,,6.017475142,20.02563896,0.22489817,,0.0397286,0.0037576,0.025501092,5.49254459,1.3921169,,,,0.122966,0.00976446,,0.073032521,4.26,0.001791,,0.12014764,0.01009,,,0.01200857,0.272361533,0.0237147,0.00331748,0.03640383,0.00992294,0.047023,,,11.105972,0.995804,9.57211,0.09187,,,195.0977901,,35.172093,0.01126,,,3.578718,,112.419632,106.4273539,,,,,,179.45108,68.52923,12.6668118,,,0.7823551,0.45265,1.5053,,,,2.12521694,3.54707369,,,,0.1628614,0.7131774,63.39599,2.109211,1.433562,0,,,,,,,,,,11.73587,18.05509,,0.01445152
Vanuatu,854,,,,2.73917496,0.07389963,0.0895754,0.1193,,,0.0867177,0.196122,1.29532836,,,,,,,,0.01,,,,,,,,,,,,,0.033466,,0.15,3.459219,,0.496988,0.3904,,,27.8426059,,0.032863,0.03495,40.77115463,,3.949969,27.27908353,,3.956042,,,,,,,5.04902,11.9216497,,,0.86898616,0.11478,,,,,,0.70856604,,,,,,0.1597,,,,,,,,,,,,,,,0.331673,
Venezuela,463,0.28431985,0.00951012,,6.254287034,5.85994237,0.34385379,,,0.199587386,0.043662692,0.01603901,1.35502129,0,,,,0.00774079,,9.699575944,0.06,,,0.0146709,,,,0.00676321,0.00456378,0.00695307,,,,,,0.2761431,9.880131,0.179123,,0.00497,,,0.632883242,,0.108049,,0.079915231,,3.201367,0.078271,,,,79.05299,0.70582,,,,,2.063652013,,,,0.24765,0.299733,,,,0.27452174,0.94768074,,,3.29481,0.0448686,0.4765311,,,,,,,,,,,,,,,,,
Viet Nam,769,2.92020614,16.94290523,12.71912417,128.9251255,220.1848717,1.547590538,0.7467093,10.22978805,0.031263983,1.39221107,34.77068077,12.38654522,12.92852308,,11.4254419,7.11332644,0.00488776,,0.06920535,0.18,,,0.081426128,0.04012,,0.01,1.75767954,0.1967885,0.117714,,,,0.19616,0.922128,19.61221903,112.322007,0.484411,7.322013,0.04356,,,1583.472444,,924.255263,0.82531,56.37661808,,7.7915787,6.4422888,210.509528,753.6207117,,,,,,420.86345,403.39081,60.11756528,,,1.92610256,0.92686,0.476635,,8.90885,,4.64216545,5.3345411,,,,0.6817706,3.1434153,,,21.26213,,,,,,,,,,,11.34828,44.38094,0.7416821,7.41718042
Wallis and Futuna,876,,,,85.67732135,0.00167498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.239292438,,,0.0109288,,,,,,,,,,0.3323122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Bank and Gaza Strip,550,6.10294264,34.75942321,6.371767582,49.49443095,137.6224773,19.69356326,22.78814465,69.13644465,0.00211213,61.55898835,30.76287316,30.69293282,10.05822564,0.479603,5.6255785,7.03482202,0.1633307,,18.71391812,43.12,0.3473518,,0.41552867,0.08049,,,0.49319975,1.20674762,0.4933498,0.14486344,,0.0323088,6.7763,,46.14869149,661.72321,19.4278,86.065561,39.29863,,,56.74508451,,6.079793,,30.53156724,,,1.197064,,,,,,,,,,419.0230869,,,0.82765552,0.98902,0.0883627,,5.3772,,1.80350993,3.41264311,423.2284,0.317106,,,1.1806671,85.0114,,,,,,,,,,,,,,,,0.54259752
"West Indies, regional",380,,,,,,,,0.0178567,,,,82.8383975,,,,,,,,,,,,,,,,,,,,,,,26.95730952,75.342348,,,,,,,,,,8.17661E-05,,,1.0727605,,0.757,,,,,,,,31.0920765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.82155,,
Yemen,580,0.1333931,2.666696362,6.8358412,1.105043989,129.4517419,1.65874,29.65587665,13.930837,,27.01760662,9.605067488,171.1875208,5.1522384,,4.42332,1.105828,,,1.00651019,8.9,0.0331748,,0.1698295,0.00955,,,0.242605,0.03358784,0.0256187,,,,,,17.35950882,302.139516,,25.9839,994.15008,,,37.08854031,,1,0.00318,0.04272649,,4.7569647,,,38.4323,,,,,,,,99.33261816,17.7151962,1.190923,1.21871025,0.2677,0.34696,,0.3,,2.95708154,7.72437097,,24.047667,,0.1331366,2.4861119,15.20235,,,,,,,,,,,,,22.45804,5.55979,,0.98944952
Zambia,288,0.02756779,1.7133878,4.7046888,76.13424188,27.43639114,1.029646007,,14.67073195,0.00046113,44.43684297,0.2995128,78.06024984,10.97900636,,12.4705983,0.0899961,,,0.008323724,0.48,,,0.89745489,,,,0.0021135,0.0122728,,0.00774079,,,,,1.324037684,368.44631,,,0.32122,,,38.94368737,,0.365167,0.0107,1.301189016,,5.44877,0.4987102,,93.52655538,,,,28.36303,34.25226,,,126.8942773,,,1.43933521,0.68998,0.371758,,22.16573,,3.80797243,9.17004484,,0.825853,4.20017,1.083973,2.3027134,,,10.709262,,0.39336,,,,,,,,,18.72169,86.45322,,21.0780525
Zimbabwe,265,0.19353497,3.48044205,9.73012297,1.70587242,36.94300332,0.16841216,4.9821318,10.83968382,0.068114582,30.04732297,7.684311375,134.633457,0.621391138,,6.96625985,,0.00488776,,0.239477091,0.78,,,0.08400188,,,,0.00676321,0.0251008,0.0168585,,,,1.5,,5.67279748,216.900747,,,0.0048,,,15.05378607,,1.940871,0.01282,3.234052999,,1.9615297,0.2077373,0,0,,,,0.02122,9.32967,,,50.82472449,,,2.53274618,1.51052,0.299032,,,,6.60275709,8.67480886,,15.571608,4.72805,1.2002156,2.4806945,,,,,,,,,,,1.40244,,,9.52563,144.51155,,10.08675865
